time,temperature(C),humidity(%)
2023-03-31T20:53:52,15.6,37.9
2023-03-31T20:58:52,17.6,34.8
2023-03-31T21:03:56,19.0,35.0
2023-03-31T21:08:59,19.3,35.1
2023-03-31T21:13:59,19.3,35.1
2023-03-31T21:19:00,19.5,35.0
2023-03-31T21:24:01,19.4,34.9
2023-03-31T21:29:04,19.3,35.0
2023-03-31T21:34:04,19.3,35.1
2023-03-31T21:39:05,19.2,34.8
2023-03-31T21:44:06,19.2,34.6
2023-03-31T21:49:06,19.1,34.5
2023-03-31T21:54:07,19.1,34.7
2023-03-31T21:59:07,19.0,34.3
2023-03-31T22:04:08,19.0,34.2
2023-03-31T22:09:09,19.0,34.3
2023-03-31T22:14:09,18.9,34.4
2023-03-31T22:19:10,18.9,34.2
2023-03-31T22:24:10,18.9,33.8
2023-03-31T22:29:11,19.1,34.1
2023-03-31T22:34:12,19.3,34.1
2023-03-31T22:39:12,19.5,34.1
2023-03-31T22:44:15,19.4,34.0
2023-03-31T22:49:16,19.4,34.0
2023-03-31T22:54:16,19.3,33.8
2023-03-31T22:59:17,19.3,33.6
2023-03-31T23:04:18,19.2,33.6
2023-03-31T23:09:18,19.1,33.6
2023-03-31T23:14:19,19.1,33.6
2023-03-31T23:19:20,19.0,33.6
2023-03-31T23:24:20,19.0,33.5
2023-03-31T23:29:21,18.9,33.6
2023-03-31T23:34:21,18.9,33.6
2023-03-31T23:39:22,18.9,33.6
2023-03-31T23:44:23,18.8,33.6
2023-03-31T23:49:23,18.8,33.5
2023-03-31T23:54:24,19.0,33.7
2023-03-31T23:59:27,19.5,33.7
2023-04-01T00:04:30,19.5,33.7
2023-04-01T00:09:31,19.5,33.7
2023-04-01T00:14:31,19.3,33.8
2023-04-01T00:19:32,19.2,34.2
2023-04-01T00:24:35,19.0,34.0
2023-04-01T00:29:36,19.1,34.0
2023-04-01T00:34:39,19.0,33.7
2023-04-01T00:39:40,19.0,33.7
2023-04-01T00:44:40,18.9,33.7
2023-04-01T00:49:41,18.9,33.6
2023-04-01T00:54:41,18.8,33.6
2023-04-01T00:59:42,18.9,33.9
2023-04-01T01:04:45,19.4,34.1
2023-04-01T01:09:48,19.5,34.0
2023-04-01T01:14:51,19.4,33.9
2023-04-01T01:19:52,19.4,33.9
2023-04-01T01:24:53,19.2,33.8
2023-04-01T01:29:56,19.0,33.6
2023-04-01T01:34:56,19.0,33.6
2023-04-01T01:39:57,19.0,33.5
2023-04-01T01:44:58,18.9,33.5
2023-04-01T01:49:58,18.8,33.5
2023-04-01T01:54:59,18.8,33.3
2023-04-01T01:59:59,18.7,33.4
2023-04-01T02:05:00,18.9,33.8
2023-04-01T02:10:01,19.2,33.8
2023-04-01T02:15:01,19.4,33.9
2023-04-01T02:20:02,19.4,33.7
2023-04-01T02:25:02,19.2,33.7
2023-04-01T02:30:06,19.0,33.6
2023-04-01T02:35:06,19.0,33.6
2023-04-01T02:40:07,18.9,33.6
2023-04-01T02:45:07,18.9,33.6
2023-04-01T02:50:08,18.8,33.5
2023-04-01T02:55:09,18.8,33.7
2023-04-01T03:00:09,19.1,33.8
2023-04-01T03:05:10,19.3,33.8
2023-04-01T03:10:11,19.5,33.7
2023-04-01T03:15:11,19.3,33.7
2023-04-01T03:20:12,19.1,33.7
2023-04-01T03:25:12,19.0,33.6
2023-04-01T03:30:13,18.9,33.6
2023-04-01T03:35:13,18.9,33.5
2023-04-01T03:40:14,18.8,33.5
2023-04-01T03:45:15,18.7,33.6
2023-04-01T03:50:15,18.9,33.7
2023-04-01T03:55:16,19.2,33.7
2023-04-01T04:00:19,19.4,33.8
2023-04-01T04:05:25,19.2,33.7
2023-04-01T04:10:25,19.2,33.7
2023-04-01T04:15:26,19.0,33.7
2023-04-01T04:20:27,18.9,33.6
2023-04-01T04:25:27,18.8,33.6
2023-04-01T04:30:28,18.8,33.6
2023-04-01T04:35:28,18.7,33.6
2023-04-01T04:40:29,18.9,33.7
2023-04-01T04:45:30,19.1,33.8
2023-04-01T04:50:30,19.4,33.8
2023-04-01T04:55:31,19.4,33.7
2023-04-01T05:00:32,19.2,33.7
2023-04-01T05:05:32,19.0,33.7
2023-04-01T05:10:43,18.9,33.7
2023-04-01T05:15:43,18.8,33.7
2023-04-01T05:20:44,18.8,33.6
2023-04-01T05:25:45,18.7,33.7
2023-04-01T05:30:45,18.9,33.7
2023-04-01T05:35:46,19.1,33.7
2023-04-01T05:40:47,19.4,33.8
2023-04-01T05:45:47,19.4,33.7
2023-04-01T05:50:48,19.2,33.7
2023-04-01T05:55:48,19.0,33.7
2023-04-01T06:00:49,18.9,33.7
2023-04-01T06:05:52,18.8,33.7
2023-04-01T06:10:53,18.8,33.7
2023-04-01T06:15:53,18.7,33.7
2023-04-01T06:20:54,18.9,33.8
2023-04-01T06:25:55,19.2,33.8
2023-04-01T06:30:55,19.4,33.8
2023-04-01T06:35:56,19.4,33.8
2023-04-01T06:40:59,19.0,33.7
2023-04-01T06:46:02,18.9,33.7
2023-04-01T06:51:03,18.9,33.7
2023-04-01T06:56:03,18.8,33.7
2023-04-01T07:01:06,18.8,33.8
2023-04-01T07:06:07,18.8,33.8
2023-04-01T07:11:08,19.0,33.8
2023-04-01T07:16:08,19.3,33.8
2023-04-01T07:21:09,19.5,33.7
2023-04-01T07:26:09,19.3,33.7
2023-04-01T07:31:10,19.1,33.8
2023-04-01T07:36:11,18.9,33.7
2023-04-01T07:41:11,18.9,33.7
2023-04-01T07:46:12,18.8,33.7
2023-04-01T07:51:12,18.7,33.6
2023-04-01T07:56:16,19.1,33.8
2023-04-01T08:01:16,19.1,33.8
2023-04-01T08:06:17,19.3,33.9
2023-04-01T08:11:17,19.5,33.8
2023-04-01T08:16:18,19.4,33.8
2023-04-01T08:21:19,19.2,33.9
2023-04-01T08:26:19,19.1,33.8
2023-04-01T08:31:20,19.0,33.8
2023-04-01T08:36:20,19.0,33.8
2023-04-01T08:41:21,18.9,33.7
2023-04-01T08:46:24,18.9,33.7
2023-04-01T08:51:25,18.9,33.7
2023-04-01T08:56:25,19.0,33.7
2023-04-01T09:01:31,19.5,33.9
2023-04-01T09:06:32,19.5,33.8
2023-04-01T09:11:32,19.5,33.8
2023-04-01T09:16:33,19.5,33.9
2023-04-01T09:21:34,19.3,33.8
2023-04-01T09:26:34,19.2,33.7
2023-04-01T09:31:35,19.2,33.7
2023-04-01T09:36:35,19.2,33.7
2023-04-01T09:41:36,19.1,33.7
2023-04-01T09:46:37,19.1,33.7
2023-04-01T09:51:37,19.0,33.7
2023-04-01T09:56:38,19.0,33.6
2023-04-01T10:01:39,19.0,33.6
2023-04-01T10:06:39,19.1,33.8
2023-04-01T10:11:42,19.6,33.9
2023-04-01T10:16:43,19.7,33.9
2023-04-01T10:21:49,19.6,33.8
2023-04-01T10:26:52,19.5,33.8
2023-04-01T10:31:55,19.4,33.8
2023-04-01T10:36:55,19.5,33.8
2023-04-01T10:41:56,19.4,33.8
2023-04-01T10:46:57,19.4,33.8
2023-04-01T10:51:57,19.4,33.8
2023-04-01T10:56:58,19.4,33.8
2023-04-01T11:01:59,19.4,33.8
2023-04-01T11:06:59,19.4,33.9
2023-04-01T11:12:00,19.4,33.8
2023-04-01T11:17:03,19.4,33.8
2023-04-01T11:22:04,19.4,33.8
2023-04-01T11:27:04,19.3,33.7
2023-04-01T11:32:10,19.4,33.7
2023-04-01T11:37:11,19.4,33.7
2023-04-01T11:42:11,19.4,34.0
2023-04-01T11:47:12,19.4,34.0
2023-04-01T11:52:15,19.4,33.9
2023-04-01T11:57:16,19.4,33.9
2023-04-01T12:02:16,19.4,34.0
2023-04-01T12:07:19,19.4,34.0
2023-04-01T12:12:20,19.5,34.0
2023-04-01T12:17:21,19.4,33.9
2023-04-01T12:22:21,19.5,34.0
2023-04-01T12:27:22,19.5,34.0
2023-04-01T12:32:22,19.5,34.0
2023-04-01T12:37:23,19.5,34.0
2023-04-01T12:42:24,19.5,34.0
2023-04-01T12:47:24,19.6,34.0
2023-04-01T12:52:25,19.7,34.0
2023-04-01T12:57:26,19.7,34.0
2023-04-01T13:02:26,19.7,34.0
2023-04-01T13:07:27,19.7,34.0
2023-04-01T13:12:27,19.7,34.1
2023-04-01T13:17:28,19.8,34.0
2023-04-01T13:22:29,19.8,34.1
2023-04-01T13:27:29,19.9,34.3
2023-04-01T13:32:30,19.9,34.1
2023-04-01T13:37:30,20.0,34.6
2023-04-01T13:42:31,20.0,34.7
2023-04-01T13:47:34,20.0,34.7
2023-04-01T13:52:35,20.0,34.8
2023-04-01T13:57:35,20.1,34.9
2023-04-01T14:02:36,20.1,34.9
2023-04-01T14:07:37,20.2,34.9
2023-04-01T14:12:40,20.3,35.0
2023-04-01T14:17:40,20.3,35.0
2023-04-01T14:22:41,20.3,35.0
2023-04-01T14:27:41,20.4,35.1
2023-04-01T14:32:42,20.5,35.1
2023-04-01T14:37:45,20.5,35.2
2023-04-01T14:42:46,20.5,35.2
2023-04-01T14:47:46,20.6,35.2
2023-04-01T14:52:47,20.6,35.3
2023-04-01T14:57:48,20.6,35.3
2023-04-01T15:02:48,20.7,35.3
2023-04-01T15:07:49,20.7,35.3
2023-04-01T15:12:49,20.8,35.3
2023-04-01T15:17:50,20.8,35.4
2023-04-01T15:22:53,20.9,35.4
2023-04-01T15:27:54,20.9,35.4
2023-04-01T15:32:57,21.0,35.5
2023-04-01T15:37:57,21.0,35.4
2023-04-01T15:43:01,21.1,35.4
2023-04-01T15:48:01,21.1,35.4
2023-04-01T15:53:02,21.1,35.4
2023-04-01T15:58:02,21.2,35.6
2023-04-01T16:03:06,21.3,36.2
2023-04-01T16:08:06,21.3,36.3
2023-04-01T16:13:09,21.4,36.3
2023-04-01T16:18:13,21.5,35.9
2023-04-01T16:23:13,21.5,35.8
2023-04-01T16:28:14,21.5,33.8
2023-04-01T16:33:14,21.3,31.9
2023-04-01T16:38:15,21.3,30.9
2023-04-01T16:43:16,21.2,30.3
2023-04-01T16:48:16,21.1,29.6
2023-04-01T16:53:17,21.1,29.0
2023-04-01T16:58:17,21.0,28.3
2023-04-01T17:03:18,20.9,28.1
2023-04-01T17:08:19,20.8,27.9
2023-04-01T17:13:19,20.7,27.9
2023-04-01T17:18:20,20.7,28.0
2023-04-01T17:23:20,20.6,27.7
2023-04-01T17:28:21,20.6,27.6
2023-04-01T17:33:24,20.5,28.1
2023-04-01T17:38:25,20.6,28.1
2023-04-01T17:43:28,20.5,27.8
2023-04-01T17:48:29,20.5,27.8
2023-04-01T17:53:29,20.5,27.5
2023-04-01T17:58:30,20.4,27.2
2023-04-01T18:03:33,20.3,27.4
2023-04-01T18:08:34,20.3,27.4
2023-04-01T18:13:37,20.3,27.6
2023-04-01T18:18:37,20.3,27.7
2023-04-01T18:23:38,20.2,27.8
2023-04-01T18:28:39,20.2,27.8
2023-04-01T18:33:39,20.2,27.9
2023-04-01T18:38:40,20.1,27.7
2023-04-01T18:43:40,20.1,27.9
2023-04-01T18:48:41,20.0,27.5
2023-04-01T18:53:42,20.0,27.6
2023-04-01T18:58:47,19.9,27.3
2023-04-01T19:03:48,19.9,27.2
2023-04-01T19:08:49,20.0,28.2
2023-04-01T19:13:49,20.1,28.5
2023-04-01T19:18:50,20.1,28.8
2023-04-01T19:23:50,20.1,29.0
2023-04-01T19:28:51,20.2,29.3
2023-04-01T19:33:52,20.2,29.4
2023-04-01T19:38:52,20.2,29.6
2023-04-01T19:43:53,20.3,29.9
2023-04-01T19:48:53,20.3,30.0
2023-04-01T19:53:57,20.3,30.1
2023-04-01T19:58:57,20.3,30.1
2023-04-01T20:03:58,20.3,30.1
2023-04-01T20:08:58,20.3,30.2
2023-04-01T20:13:59,20.3,30.2
2023-04-01T20:19:00,20.3,30.3
2023-04-01T20:24:00,20.2,30.4
2023-04-01T20:29:01,20.2,30.6
2023-04-01T20:34:01,20.2,30.5
2023-04-01T20:39:02,20.2,30.6
2023-04-01T20:44:03,20.1,30.6
2023-04-01T20:49:03,20.1,30.7
